Original Entity Name	Revised Entity Name

霸王别姬	霸王别姬_(电影)
斯嘉丽·约翰逊	史嘉蕾·乔韩森
中央电视台	中国中央电视台
玛格丽特·希尔达·撒切尔	玛格丽特·撒切尔
红河谷	NIL
关山牧场	NIL
紫柏山风景区	NIL
国美电器	国美零售
犯罪心理	犯罪心理_(电视剧)
薇诺娜·赖德	薇诺娜·瑞德
致我们终将逝去的青春	致我们终将逝去的青春_(电影)
内蒙古伊利实业集团股份有限公司	伊利集团
本•拉登	奥萨马·本·拉登
皇马	皇家马德里足球俱乐部
曼联	曼彻斯特联足球俱乐部
陆川	陆川_(导演)
周立波	周立波_(演员)
刘彻	汉武帝
5·12汶川地震	汶川大地震
雅安	雅安市
方力钧	NIL
蒙其·D·路飞	蒙其·D·鲁夫
海贼王	ONE_PIECE
合肥	合肥市
乌索普	骗人布
山治	文斯莫克·香吉士
乔巴	多尼多尼·乔巴
弗兰奇	佛朗基
步步杀机	NIL
2016年里约热内卢奥运会	2016年夏季奥林匹克运动会
俄克拉荷马雷霆队	俄克拉何马城雷霆
李琰	李琰_(运动员)
凤凰古城	凤凰县
索菲亚·科波拉	苏菲亚·柯波拉
达·芬奇密码	达文西密码_(电影)
漫长的婚约	美丽缘未了
卡拉·布吕尼	卡拉·布鲁尼
了不起的盖茨比	大亨小传_(2013年电影)
斯蒂芬·福斯特	史蒂芬·福斯特
刘盈	汉惠帝
抗日战争	中国抗日战争
广州	广州市
何塞·穆里尼奥	若泽·穆里尼奥
蒂姆·库克	提姆·库克
柳州	柳州市
长沙	长沙市
拉齐奥足球俱乐部	拉素体育会
萨克拉门托国王队	沙加缅度国王
迈阿密热火队	迈阿密热火
洛杉矶湖人队	洛杉矶湖人
多伦多猛龙队	多伦多猛龙
夏洛特山猫队	夏洛特黄蜂
休斯敦火箭队	休斯敦火箭
洛杉矶快船队	洛杉矶快船
nba	NBA
奥兰多魔术队	奥兰多魔术
波士顿凯尔特人队	波士顿凯尔特人
亚特兰大老鹰队	亚特兰大老鹰
德怀特·霍华德	迪韦特·侯活
科克·辛里奇	柯克·韩瑞克
成都 	成都市
西溪国家湿地公园	西溪湿地
小龙	释小龙
玛利亚·莎拉波娃	玛丽亚·莎拉波娃
姜山	NIL
皮特·桑普拉斯	皮特·森柏斯
佩特拉·科维托娃	佩特拉·克维托娃
弗朗西斯卡·斯齐亚沃尼	弗兰切斯卡·斯基亚沃内
马兰	NIL
阿里巴巴	阿里巴巴集团
中国移动通信公司	中国移动
上海盛大网络发展有限公司	盛大网络
开封	开封市
滨州	滨州市
赣州	赣州市
朝鲜	朝鲜民主主义人民共和国
平壤市	平壤
端木赐	子贡
云南	云南省
天朝 	中华人民共和国
贵州	贵州省
湘潭	湘潭市
株洲	株洲市
宝马 	BMW
信仰	信阳市
广东	广东省
中国石油化工集团公司	中国石油化工集团
衢州	衢州市
河北	河北省
杭州娃哈哈集团有限公司	娃哈哈
茅台集团	贵州茅台酒股份
苏醒	苏醒_(歌手)
安贞医院 	NIL
李炜	李炜_(快乐男声)
乌戈·查韦斯	乌戈·查维兹
韩国	大韩民国
阿诺德·施瓦辛格	阿诺·施瓦辛格
李云龙	李云龙_(亮剑)
海口	海口市
埃德蒙德·菲尔普斯	埃德蒙·费尔普斯
广州恒大足球俱乐部	广州恒大淘宝足球俱乐部
里奥·梅西	利昂内尔·梅西
克里夫兰骑士队	克里夫兰骑士
达拉斯小牛队	达拉斯小牛
华为技术有限公司	华为
凯特·米德尔顿	剑桥公爵夫人凯萨琳
戴安娜王妃	威尔斯王妃戴安娜
扬州	扬州市
三星	三星集团
内蒙古蒙牛乳业（集团）股份有限公司	蒙牛集团
淮安	淮安市
中国人民解放军艺术学院	中国人民解放军国防大学军事文化学院
特雷西·麦克格雷迪	特雷西·麦格克雷迪
洛杉矶湖人队	洛杉矶湖人
google	Google
钟欣桐	钟欣潼
萧峰	乔峰
余姚	余姚市
胡亥 	秦二世
高邮	高邮市
陆步轩	NIL
六人行 老友记
瑞安	NIL
唐僧	唐三藏
宏达国际电子股份有限公司	宏达国际电子
